,Latitude,Lat,Longitude,Lon,Altitude,CommandTX,Roll,Pitch,Yaw
0,3503.8579,N,8508.8945,W,237.6,0,0.06,11.48,199.62
1,3503.8579,N,8508.8945,W,237.7,0,0.07,11.48,199.54
2,3503.8579,N,8508.8945,W,237.7,0,0.08,11.47,199.59
3,3503.8579,N,8508.8945,W,237.7,0,0.08,11.49,199.38
4,3503.8579,N,8508.8945,W,237.7,0,0.07,11.48,199.41
5,3503.8579,N,8508.8945,W,237.7,0,0.10,11.47,199.36
6,3503.8582,N,8508.8955,W,237.8,0,0.06,11.47,199.43
7,3503.8579,N,8508.8955,W,237.8,0,0.10,11.48,199.32
8,3503.8582,N,8508.8955,W,237.8,0,0.08,11.47,199.26
9,3503.8579,N,8508.8955,W,237.8,0,0.07,11.48,199.46
10,3503.8579,N,8508.8955,W,237.8,0,0.08,11.46,199.49
11,3503.8579,N,8508.8955,W,237.8,0,0.09,11.48,199.49
12,3503.8579,N,8508.8955,W,237.9,0,0.06,11.48,199.54
13,3503.8582,N,8508.8955,W,237.9,0,0.12,11.48,199.61
14,3503.8582,N,8508.8955,W,237.9,0,0.10,11.49,199.53
15,3503.8582,N,8508.8955,W,238.0,0,0.08,11.46,199.66
16,3503.8582,N,8508.8955,W,238.0,0,0.03,11.49,199.62
17,3503.8584,N,8508.8955,W,238.0,0,0.07,11.49,199.64
18,3503.8584,N,8508.8955,W,238.0,0,0.09,11.46,199.71
19,3503.8584,N,8508.8955,W,238.0,0,0.04,11.48,199.75
20,3503.8584,N,8508.8955,W,238.1,0,0.10,11.46,199.71
21,3503.8582,N,8508.8955,W,238.1,0,0.03,11.50,199.82
22,3503.8582,N,8508.8955,W,238.1,0,0.07,11.48,199.84
23,3503.8582,N,8508.8955,W,238.1,0,0.09,11.48,199.80
24,3503.8582,N,8508.8955,W,238.0,0,0.08,11.48,199.74
25,3503.8584,N,8508.8945,W,238.0,0,0.11,11.47,199.64
26,3503.8584,N,8508.8945,W,238.0,0,0.09,11.48,199.62
27,3503.8584,N,8508.8945,W,238.0,0,0.05,11.48,199.47
28,3503.8584,N,8508.8955,W,238.0,0,0.08,11.46,199.39
29,3503.8584,N,8508.8955,W,238.0,0,0.10,11.46,199.24
30,3503.8584,N,8508.8955,W,238.0,0,0.05,11.48,199.43
31,3503.8584,N,8508.8955,W,238.0,0,0.05,11.50,199.56
32,3503.8584,N,8508.8955,W,238.0,0,0.09,11.49,199.61
33,3503.8584,N,8508.8955,W,237.9,0,0.06,11.46,199.62
34,3503.8584,N,8508.8955,W,237.9,0,0.08,11.50,199.76
35,3503.8584,N,8508.8955,W,238.0,0,0.10,11.47,199.77
36,3503.8584,N,8508.8945,W,238.0,0,0.06,11.46,199.78
37,3503.8584,N,8508.8945,W,238.0,0,0.06,11.48,199.77
38,3503.8584,N,8508.8945,W,238.0,0,0.09,11.48,199.80
39,3503.8584,N,8508.8945,W,238.0,0,0.05,11.48,199.79
40,3503.8584,N,8508.8945,W,238.1,0,0.09,11.46,199.76
41,3503.8584,N,8508.8955,W,238.1,0,0.10,11.49,199.75
42,3503.8584,N,8508.8955,W,238.1,0,0.08,11.46,199.86
43,3503.8584,N,8508.8955,W,238.1,0,0.08,11.49,199.87
44,3503.8584,N,8508.8955,W,238.1,0,0.06,11.48,199.78
45,3503.8584,N,8508.8955,W,238.1,0,0.07,11.49,199.76
46,3503.8584,N,8508.8955,W,238.1,0,0.10,11.46,199.64
47,3503.8584,N,8508.8955,W,238.1,0,0.10,11.45,199.61
48,3503.8584,N,8508.8955,W,238.1,0,0.07,11.48,199.52
49,3503.8584,N,8508.8955,W,238.1,0,0.07,11.47,199.53
50,3503.8584,N,8508.8955,W,238.1,0,0.07,11.47,199.69
51,3503.8584,N,8508.8955,W,238.0,0,0.08,11.48,199.70
52,3503.8584,N,8508.8955,W,238.0,0,0.07,11.48,199.65
53,3503.8584,N,8508.8955,W,238.1,0,0.08,11.48,199.73
54,3503.8584,N,8508.8955,W,238.1,0,0.11,11.46,199.63
55,3503.8582,N,8508.8955,W,238.1,0,0.10,11.48,199.59
56,3503.8582,N,8508.8955,W,238.1,0,0.07,11.47,199.49
57,3503.8584,N,8508.8955,W,238.0,0,0.06,11.48,199.57
58,3503.8584,N,8508.8955,W,238.1,0,0.09,11.48,199.55
59,3503.8584,N,8508.8955,W,238.1,0,0.08,11.48,199.55
60,3503.8584,N,8508.8955,W,238.1,0,0.06,11.48,199.73
61,3503.8584,N,8508.8955,W,238.1,0,0.11,11.50,199.66
62,3503.8584,N,8508.8955,W,238.1,0,0.09,11.47,199.65
63,3503.8584,N,8508.8955,W,238.1,0,0.07,11.47,199.67
64,3503.8584,N,8508.8955,W,238.1,0,0.11,11.47,199.59
65,3503.8584,N,8508.8955,W,238.1,0,0.08,11.48,199.57
66,3503.8584,N,8508.8955,W,238.1,0,0.06,11.48,199.55
67,3503.8584,N,8508.8955,W,238.0,0,0.10,11.48,199.39
68,3503.8584,N,8508.8955,W,238.0,0,0.07,11.48,199.39
69,3503.8586,N,8508.8955,W,238.0,0,0.08,11.46,199.22
70,3503.8589,N,8508.8955,W,238.1,0,0.07,11.45,199.08
71,3503.8589,N,8508.8955,W,238.1,0,0.05,11.51,199.12
72,3503.8589,N,8508.8955,W,238.1,0,0.08,11.48,199.07
73,3503.8589,N,8508.8955,W,238.1,0,0.10,11.47,198.93
74,3503.8589,N,8508.8955,W,238.1,0,0.04,11.46,199.02
75,3503.8589,N,8508.8955,W,238.1,0,0.08,11.48,199.18
76,3503.8589,N,8508.8955,W,238.1,0,0.07,11.47,199.37
77,3503.8589,N,8508.8955,W,238.1,0,0.08,11.45,199.61
78,3503.8589,N,8508.8955,W,238.1,0,0.08,11.48,199.51
79,3503.8591,N,8508.8955,W,238.1,0,0.09,11.48,199.44
80,3503.8589,N,8508.8955,W,238.1,0,0.11,11.47,199.30
81,3503.8589,N,8508.8955,W,238.0,0,0.07,11.47,199.22
82,3503.8589,N,8508.8955,W,238.0,0,0.08,11.47,199.20
